127.0.0.1 - - [05/Jul/2021:08:44:01 +0900] "GET / HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Jul/2021:08:44:08 +0900] "GET /board/list HTTP/1.1" 200 11742
0:0:0:0:0:0:0:1 - - [05/Jul/2021:08:44:08 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Jul/2021:08:44:15 +0900] "GET /board/list?page=1&perPageNum=10&searchType=t&keyword=123 HTTP/1.1" 200 7572
0:0:0:0:0:0:0:1 - - [05/Jul/2021:08:44:18 +0900] "GET /board/readView?bno=541&%20page=1&%20perPageNum=10&%20searchType=t&%20keyword=123 HTTP/1.1" 200 4236
0:0:0:0:0:0:0:1 - - [05/Jul/2021:08:44:26 +0900] "GET /board/list?page=1&perPageNum=10&searchType=n&keyword= HTTP/1.1" 200 11754
0:0:0:0:0:0:0:1 - - [05/Jul/2021:08:44:29 +0900] "GET /board/writeView HTTP/1.1" 200 4155
0:0:0:0:0:0:0:1 - - [05/Jul/2021:08:44:29 +0900] "GET /resources/se2/js/service/HuskyEZCreator.js HTTP/1.1" 200 4550
0:0:0:0:0:0:0:1 - - [05/Jul/2021:08:44:29 +0900] "GET /resources/se2/SmartEditor2Skin.html HTTP/1.1" 200 98249
0:0:0:0:0:0:0:1 - - [05/Jul/2021:08:44:29 +0900] "GET /resources/se2/css/ko_KR/smart_editor2.css HTTP/1.1" 200 21102
0:0:0:0:0:0:0:1 - - [05/Jul/2021:08:44:29 +0900] "GET /resources/se2/js/lib/jindo_component.js HTTP/1.1" 200 70132
0:0:0:0:0:0:0:1 - - [05/Jul/2021:08:44:29 +0900] "GET /resources/se2/js/service/SE2BasicCreator.js HTTP/1.1" 200 6911
0:0:0:0:0:0:0:1 - - [05/Jul/2021:08:44:29 +0900] "GET /resources/se2/js/lib/jindo2.all.js HTTP/1.1" 200 105871
0:0:0:0:0:0:0:1 - - [05/Jul/2021:08:44:29 +0900] "GET /resources/se2/js/smarteditor2.js HTTP/1.1" 200 357466
0:0:0:0:0:0:0:1 - - [05/Jul/2021:08:44:29 +0900] "GET /resources/se2/js/service/SE2M_Configuration.js HTTP/1.1" 200 2518
0:0:0:0:0:0:0:1 - - [05/Jul/2021:08:44:30 +0900] "GET /resources/se2/img/ko_KR/text_tool_set.png?140317 HTTP/1.1" 200 19808
0:0:0:0:0:0:0:1 - - [05/Jul/2021:08:44:30 +0900] "GET /resources/se2/img/bg_button_left.gif?20121228 HTTP/1.1" 200 331
0:0:0:0:0:0:0:1 - - [05/Jul/2021:08:44:30 +0900] "GET /resources/se2/img/bg_button_right.gif HTTP/1.1" 200 1240
0:0:0:0:0:0:0:1 - - [05/Jul/2021:08:44:30 +0900] "GET /resources/se2/img/bg_button.gif?20121228 HTTP/1.1" 200 526
0:0:0:0:0:0:0:1 - - [05/Jul/2021:08:44:30 +0900] "GET /resources/se2/img/bg_text_tool.gif HTTP/1.1" 200 1123
0:0:0:0:0:0:0:1 - - [05/Jul/2021:08:44:30 +0900] "GET /resources/se2/img/icon_set.gif?141007 HTTP/1.1" 200 5957
